[00:41] Speaker_D | Okay .
"[00:41] Speaker_A | Okay , almost there ."
"[00:43] Speaker_C | Okay . We'll sta I'll use the PowerPoint , I guess . How was that , was that fun ?"
[00:49] Speaker_D | Mm . Very fun .
"[00:51] Speaker_A | Yeah , yeah ."
"[00:56] Speaker_C | Uh oh I've forgotten to mail you the minutes , but I will do . Upsidaisy . Um Um we Yeah ."
[01:00] Speaker_A | Okay .
[01:01] Speaker_B | Hmm .
[01:06] Speaker_B | E excuse me I forgot my
"[01:09] Speaker_C | Alright , okay , yeah ."
[01:13] Speaker_C | He's gonna get his pen .
[01:14] Speaker_D | Oh right . Okay .
[01:15] Speaker_C | Um Will you guys first with your prototype
[01:21] Speaker_C | um before we get to the good news ?
"[01:26] Speaker_A | Yeah , there's good news ? Oh ."
[01:27] Speaker_C | Uh we have budget problems .
[01:28] Speaker_D | Mm .
[01:32] Speaker_A | Oh .
[01:34] Speaker_A | Cutbacks .
[01:38] Speaker_A | Hmm .
"[02:00] Speaker_C | Okay , have you got a presentation to make ? No . Okay so it's just your your show ."
[02:00] Speaker_A | Okay .
"[02:02] Speaker_B | No , not mine yet ."
[02:04] Speaker_A | Oh .
[02:06] Speaker_A | Um maybe we should bring so that the camera can see . Yeah .
[02:09] Speaker_D | Okay . Sure .
[02:11] Speaker_A | Okay .
[02:15] Speaker_D | We made three for you .
[02:16] Speaker_C | Three ? Oh .
"[02:19] Speaker_D | Um one's based on the banana , one's based on the tomato and the other one is st"
"[02:29] Speaker_D | Look . Oh yeah , well yeah , we had v some red left over . So . Okay , so this is the um non to non uh no buttons one , or as mm few buttons as possible , mainly speak recognition . The yellow there is the um the slogan , yeah , that we need to incorporate , it's very simple . If you do need buttons , you can flip it over , and there's some there , um but mainly it's speech recognition ."
[02:42] Speaker_C | Mm-hmm .
[02:46] Speaker_C | Logo .
"[02:48] Speaker_C | Okay , brilliant ."
[02:54] Speaker_C | Okay .
"[02:57] Speaker_C | Okay , so the buttons would be like , you know individual users , or Yeah ."
[03:00] Speaker_D | Yeah .
"[03:02] Speaker_D | Yeah and yeah they might project things onto the screen which you can do on there . Mm I'm not sure about that . Um and this one is the one w more like the one w that we looked at earlier . Yeah , you guys can have a look at that if you want ."
"[03:06] Speaker_C | Alright , okay ."
[03:15] Speaker_C | Right .
"[03:21] Speaker_D | Yeah , sure . Um that one is Oh no , it's delicate ."
[03:26] Speaker_C | At Oh dear .
"[03:29] Speaker_D | That's that's already got its stand that one . That's it stand . It does also lie flat , but that's the that yellow stand there represents the the charging stand . Um the black on the back is the slogan ."
"[03:32] Speaker_C | Alright , okay ."
"[03:39] Speaker_C | Okay , brilliant mm ."
"[03:43] Speaker_C | Okay , nice and obvious there , if it's standing up , I guess , yeah ."
"[03:44] Speaker_D | Uh yeah , that Well , we did think of that ."
"[03:48] Speaker_D | Yeah , if it's standing up it's it's on there , but also we're gonna have the company name on the front , which is the little black kind of line in the middle . So um and that's the um transmit the L_E_D_ thing . These are the s two scroll ones which we thought could be channel up and down and volume up and down . We n were weren't sure about putting them there , because um i it's it kind of could get bashed ."
"[03:56] Speaker_C | Oh right , okay , brilliant . Like that from its centre ."
"[04:17] Speaker_D | Yeah . Well , if you hold it , you can you all can hold it , is it does actually feel quite ergonomic , if you've got small hands . Um , obviously I don't think that's real sized . It would have to be a bit bigger . Okay . Um that's a speaker at the top , so you can speak into it like a little walkie-talkie as well for speak recognition ."
[04:22] Speaker_C | Mm-hmm .
[04:23] Speaker_C | Yeah . Okay .
[04:24] Speaker_A | Mm .
"[04:29] Speaker_C | Yeah , okay . Yeah , scale model , yeah ."
[04:38] Speaker_C | Mm-hmm .
"[04:39] Speaker_D | Um and um then the buttons . Yeah kind of self-explanatory , just buttons whenever you need them . Tried to keep it simple . Oh that's the charging base prongs at the bottom . We used those . And um then the big red button in the middle is the on and off one . It's not in the traditional place , but um it's quite an obvious place ."
[05:00] Speaker_C | Okay .
"[05:02] Speaker_C | No . It's out of the way as well , I suppose , so ."
[05:05] Speaker_C | Excellent .
[05:06] Speaker_D | So there we go and and um we have the banana-based one too .
"[05:12] Speaker_A | Oh yeah , yeah ."
"[05:14] Speaker_A | This one is uh , I suppose for the younger audiences ."
"[05:18] Speaker_C | Okay , so so Barney the banana ."
"[05:26] Speaker_C | Ah excellent , just what we need ."
[05:27] Speaker_D | Yeah .
[05:28] Speaker_A | Yeah .
[05:29] Speaker_A | Say it for the camera .
[05:31] Speaker_B | Mm-hmm .
[05:35] Speaker_D | Mm-hmm .
"[05:35] Speaker_A | Right , right ."
[05:41] Speaker_D | Yeah .
[05:46] Speaker_A | It won't stand .
"[05:47] Speaker_C | Oh there are issues , oh there are issues ."
[05:52] Speaker_C | Um main problem that we have unfortunately being finance .
[05:57] Speaker_D | Oh .
"[05:58] Speaker_C | Uh , let's just enter in the um evaluation criteria . Um unfortunately"
"[06:06] Speaker_C | the unit we are currently going to produce minus the extra scroll buttons , uh it's gonna cost us fourteen point six Euros ."
[06:12] Speaker_B | Mm .
[06:15] Speaker_D | Oh .
"[06:16] Speaker_C | So we have to rea Sorry , I've accidentally highlighted somehow Um . There we go ."
[06:25] Speaker_A | Okay .
"[06:28] Speaker_C | Oh god , why is it doing that ?"
[06:28] Speaker_D | Ooh .
"[06:32] Speaker_C | There we go . So basically , um in order to save our two Euros"
[06:45] Speaker_C | um I was thinking
"[06:47] Speaker_C | that we could have essentially the same shape , but just have it flattened ."
[06:52] Speaker_D | Mm-hmm . More like a traditional remote control .
[06:53] Speaker_C | Um .
"[06:55] Speaker_C | Yeah , I mean it's already got a kind of cool shape , so but it wouldn't have to be curved sort of in and out . And by doing so Oh no , hold on . Doesn't save us quite as much ."
[06:57] Speaker_D | Mm-hmm .
[06:59] Speaker_D | Mm-hmm .
[07:08] Speaker_C | I don't know what's going on with this again .
[07:10] Speaker_A | W why is the uh double curved two of them ?
"[07:14] Speaker_C | Oh , good point ."
[07:17] Speaker_B | And double curve on both sides ?
[07:18] Speaker_C | Um .
"[07:22] Speaker_B | Curve . Yeah , this is double-curve , no ? This is double-curve . It This one is single curve ."
[07:23] Speaker_C | That's sort of curve in and out .
[07:25] Speaker_A | Is i
[07:29] Speaker_A | Mm .
"[07:29] Speaker_B | 'Cause this is single curve , this is curved on both sides ."
[07:33] Speaker_B | So double-curve .
"[07:33] Speaker_C | No , I think it means double curved as in um like uh a single curve on that bottom half , and the double curved would be if it was that similar curve upward . Okay , I might be wrong though ."
[07:36] Speaker_D | Like an S_ shape .
[07:46] Speaker_D | Okay .
"[07:48] Speaker_B | Like this , one curve on this side , one curve on that side . Hmm . Hmm ."
"[07:51] Speaker_C | I don't think that counts as a curve , I think that's just a shape ."
[07:54] Speaker_D | Okay .
[07:55] Speaker_C | A curvature is like the this case .
[07:56] Speaker_B | Maybe .
[07:58] Speaker_D | Okay .
"[08:01] Speaker_C | Yeah , and why why I've got it two , I don't know , I can't seem to select any more however ."
[08:10] Speaker_D | Mm-hmm .
[08:11] Speaker_C | Right . No .
[08:16] Speaker_A | But you think it should be one .
"[08:18] Speaker_C | It's meant to be one , yeah , I don't know why I put two in there , but um Hold on till I find it , I think this shift button might be stuck again ."
[08:20] Speaker_A | Okay .
[08:32] Speaker_A | Yeah .
[08:38] Speaker_C | Oh that's fine .
[08:40] Speaker_C | Eleven uh eleven Euros sixty .
[08:40] Speaker_D | Cool .
[08:42] Speaker_D | Cool .
[08:45] Speaker_D | So we could even add something .
"[08:47] Speaker_C | We cou Oh not quite , have the scroll-wheel , unfortunately . What ?"
[08:49] Speaker_A | We should fire the accountants .
"[09:00] Speaker_A | Ah yeah , we could add things ."
"[09:03] Speaker_A | Maybe if you click back in that bottom right cell , where you're starting from , and then use the arrow keys . Does that work ? No mm ."
[09:07] Speaker_C | Yeah .
"[09:09] Speaker_C | Yeah , I know , that just extends it as well . I don't know ."
"[09:11] Speaker_B | Uh you can do one thing . You just select one box outsi yeah , this box . Then move it with the help of this Okay . Just uh just uh Okay , just a minute ."
"[09:20] Speaker_C | It One of the buttons is sticking , I don't know ."
"[09:26] Speaker_B | Okay . No input , like this . Shift . No it's not . Yeah , it's not working . Should we ask Meli Should we ask our technical expert Melissa ?"
"[09:31] Speaker_C | No , it's 'cause the uh the shift button's stuck , or something ."
[09:35] Speaker_A | Is it the other shift button maybe ?
[09:46] Speaker_C | Yeah .
[09:49] Speaker_C | Cancel . Piss off .
[09:52] Speaker_A | That's too bad .
"[09:55] Speaker_C | Oh well , never mind . Um ."
"[09:59] Speaker_C | Right , so that's finances and I dunno what we what could we reckon we could add ?"
"[10:06] Speaker_D | Well maybe we could add something , but maybe if What do you th We're trying to save money , so . Yeah , if we're happy with the design there's no point in spending money , if we don't have to . But if there is anything you think we've missed out there , then , you know , feel free to add it . Maybe I mean obviously it would be bigger so there might be more space for the the slogan on the front , because it's not in an ideal place right now ."
[10:18] Speaker_C | Yeah .
[10:29] Speaker_C | Yeah yeah .
"[10:31] Speaker_C | Well that's that's uh Okay , so project evaluation . We have under twelve Euros fifty . Project process , how do we think that went ?"
[10:42] Speaker_C | Are we happy ?
[10:43] Speaker_A | Oh .
[10:43] Speaker_D | Mm .
[10:44] Speaker_A | Yeah I think we have a a winning product .
[10:54] Speaker_C | Evaluation .
[10:58] Speaker_C | Oh we've been writing this up for m months .
[10:59] Speaker_D | I think it went quite smoothly .
"[11:04] Speaker_C | Uh room for creativity , were we happy with that ?"
[11:07] Speaker_D | W I think we were very creative .
"[11:09] Speaker_C | No , I mea I think it means sort of individually ."
