[00:28] Speaker_B | Yeah . That's okay . That's okay .
[00:47] Speaker_B | Okay .
[00:53] Speaker_A | Am I starting now ?
"[01:33] Speaker_A | So , sorry ? So , um , take it away Poppy ."
"[01:37] Speaker_B | Okay . Um , do I need to plugged in ."
"[01:43] Speaker_C | F_ eight , w . Function F_ eight ."
[01:45] Speaker_B | F_ okay . Function F_ eight . Sorry about this guys .
[01:48] Speaker_A | No problem .
[01:52] Speaker_B | 'Kay . is on .
"[02:02] Speaker_B | Okay . I will take this time just to apologise . I , I only , uh , received my emails later on . 'Cause I was too busy carried away doing my own thing , which is not obviously not a very good part of a team-working thing . But there we go . Um , so I was looking at how we're going to go about the working design , and what we actually need to do , and what the remote control needs to do . And it needs to um allow a person to have a portable desi device , so they can control the television from wherever they are . They don't need to actually manually touch the television set . So , it gives them much more flexibility , and allows them to be where they want to be ."
[02:16] Speaker_A | I'm sure it's fine .
"[02:49] Speaker_B | Uh , on a functional side of things , we found out that wh from our previous meeting , we decided that there're certain points that will make our product unique . Um , one is the visibility in the dark , which was um Genevieve's idea . So we need to think about how we could bring this in um technically . And we could use illuminated buttons , which we are all familiar with when we're using a mobile phone , or um something fam familiar . A automatically , um lights up at first touch . Or we could use fluorescent materials which would just um take in the light during the day , and then as soon as they go off they would glow in the dark ."
"[03:29] Speaker_B | Um , also we could use um an alarm . So if we lost the um remote control , perhaps there could be a button on the television set itself , which you could press , and then an alarm from the handset would sound where it was , hopefully in the room . Maybe behind a cushion or somewhere . Um , so that would work . Um , oop . Go back there ."
"[03:54] Speaker_B | Um , another thing I think we d missed out on on the last meeting was the fact that we should consider the environmental impact of our design . Um , from previous researches I've carried out on other projects , um we've learnt about smart materials where um um specific alloys of metals have a shape memory . So they can be heated and um and cooled , and they change the shape of um the metal . So , for example , a screw that's holding something together could expand and it would force all the components apart ."
"[04:30] Speaker_B | So um , the benefits of this for our product would be that when it came to the end of its product life , if it was heated , um everything would spring apart . So , all the um individual components could be easily separated , and then some could be reused , some could be recycled , and I think that would be very important for products now . Especially 'cause there's much uh responsibility for all the um companies who are coming up with like new designs . 'Cause all , we all know that our resources are being limited , and we have to be very environmentally conscious ."
"[05:01] Speaker_A | Right , um , one question . This , um , self-destructible uh metal , it allows for recycling materials ? So that , um , someone could have this product for as long as they felt that they wanted it , and then once they contribute it , then that company can break down the part , the parts better ?"
[05:03] Speaker_B | Yeah .
[05:19] Speaker_B | Yeah .
"[05:21] Speaker_B | Yeah they would , um you would make the , the product as you normally would , apart from the , the bits that hold it all together would be made out of this shape-memory alloy . And that's the part that would um allow all the other parts to be separated at the end . I mean , the user would return the p product to the company , 'cause it's the product's responsibility to get rid of what they've made . Um , and then the company could then just use , make use of this shape-memory alloys to split up the components , and then either reuse some bits , and other bits which are obviously gonna wear out with time , or not usable , they might be like be able to put into scrap metal . Something like the case , if it's scratched or something , you would want to reuse it , but you might be able to melt it down and reuse it again somewhere else ."
[05:59] Speaker_A | Yeah .
[06:13] Speaker_A | Mm-hmm .
"[06:15] Speaker_A | Would we be the company that would break down these , or uh metals ? Or would we contribute to another group ?"
[06:35] Speaker_A | Alright .
"[06:38] Speaker_A | Okay . This sounds like a really great idea . One thing we have to consider is our uh one hundred percent um turnover goal that we have for our financial sector . Um , so we'll have to investigate how much that will cost us , cost the company , um 'cause it sounds very labour-intensive . You would have to hire a number of people , and it might be more expensive ."
[06:46] Speaker_B | Yeah . Yeah .
[06:52] Speaker_B | Yeah .
[07:16] Speaker_A | Mm-hmm .
[07:20] Speaker_A | Alright . We'll still have to investigate the financial implications .
"[07:28] Speaker_A | Alright . I like the environmental approach . Um , we'll have to see if that can meet our financial goals as well ."
[07:30] Speaker_B | Yeah .
[07:32] Speaker_B | Okay .
[07:34] Speaker_B | Um also
