[00:31] Speaker_A | Okay .
[00:56] Speaker_A | Right .
[01:00] Speaker_A | Okay .
[01:11] Speaker_A | Alright . Is everyone here ? Okay . This is our conceptual design meeting .
[01:15] Speaker_C | Yep .
"[02:18] Speaker_A | our Marketing Expert uh gave us some i uh information from interviews with a hundred different remote users . Um with some statistics that backed basically what we were thinking before . People thought their remotes were ugly , um"
[02:38] Speaker_A | that remotes zap a lot . Um they only use uh a finite amount of buttons .
[03:07] Speaker_A | And that it should look different than what's out there .
"[03:15] Speaker_A | Kind of mixed mixed response on the speech recognition . The younger people said they wanted it , older people did not . Um uh I think we decided that"
"[04:10] Speaker_A | Um and some personal preferences that were found in that would be that it should be a user-oriented remote , something simple . Um and that we didn't wanna go with a universal remote , because uh increasing cost and increasing complexity . Um we would just have a T_V_ remote . Um and that we should also focus on the appearance of the remote . Have it s be something that looks different ."
"[05:39] Speaker_A | And with a , just a few buttons . Just the basics . And with a scrolling um function also ."
[05:55] Speaker_A | Marketing ? We're watching trends . I suppose that you can have this .
[05:56] Speaker_D | Okay .
[05:58] Speaker_D | Yep . Can I have your cable please ? Thanks .
[06:28] Speaker_D | Okay so I was looking at trend-watching .
"[06:34] Speaker_D | Um unfortunately I wasn't given too much information . I was given a brief executive summary , and then an update on some recent fashion trends that we might like to look at . And then I'll just tell you some personal preferences that I got from that ."
"[06:50] Speaker_D | Um okay the most important finding was that the fancy look-and-feel seems to be twice as important to the users as the current functional look-and-feel design , which I think we've kind of already discussed before ."
"[07:07] Speaker_D | Um the second most important finding was that the remote should be technologically innovative . And again these are all things we've kind of already come up with on our own , but this just backs it up . And thirdly the remote would be easy to use ."
"[07:25] Speaker_D | As far as fashion update , we've learned that fruits and vegetables will be the most important theme for cloths , shoes and furniture . So that might be a bit of a challenge to incorporate this into our remote , but we can try ."
"[07:40] Speaker_D | Um and also , as opposed to last year , this year the material is expected to be spongy in feel ."
"[08:16] Speaker_D | Whether it's through the shape or the colours or all of that . Um for technologically innovative , we've talked about the tracking device . We brought up the idea of having two pieces , which we could discuss further ."
"[08:49] Speaker_D | Um we need to incorporate this fashion trend of fruits and vegetables . I don't know , I mean I guess the two options are if we had our remote in the shape of a fruit or vegetable . Yeah . Yeah . Right . Or with exterior designs . But my question is , I mean the stereotypically speaking , you kind of picture males with their remote controls , and I'm not sure how they'd feel about having fruity logos on the outside . So maybe we could have something that's somewhat removable , or I don't know , different options for female , male target groups ."
[09:27] Speaker_D | And then the spongy feel . I guess we could look at mobile phones and other technology that's out there . C and look at different types of material that might please our users who want spongy-feeling remote controls .
[09:44] Speaker_D | So that's that .
"[09:46] Speaker_A | So possibly like a uh , sorry , just to butt in for a second . Possibly uh like a cover like they have for mobile phones ?"
[09:47] Speaker_B | Alright .
[09:53] Speaker_D | That's what I was thinking yeah .
"[09:54] Speaker_C | Those like , yeah , sort of spongy ones ."
"[09:56] Speaker_A | You have one with a flag , and one with a banana and one that's a spongy"
[10:06] Speaker_D | various coverings .
"[10:07] Speaker_C | What's it called ? Cust you personalised , yeah ."
[10:07] Speaker_A | Mm various covers .
[10:11] Speaker_D | Personalise your remote .
[10:49] Speaker_C | Okay .
"[10:52] Speaker_C | Why can't I see the crazy . Um yeah I talking about the interface concept and how the customer relates to , will use the , consumer will use the actual device . Um so I've looked at some of the stuff I was sent , um , try and get some inspiration . But keep in mind that our own ideas that we had ."
"[11:15] Speaker_C | Um I was sent some information from the company saying that they , the technology department have devised a new speech recognition technology , where you can program questions into such devices ."
"[11:29] Speaker_C | They gave an example of a coffee machine where you program a question , you program the answer , and the machine responds accordingly . Um okay . There's different ways of a user can use products l like a remote . Um there's a graphical use , where you you look at pictures and"
"[11:55] Speaker_C | well on a screen . A command line where you obviously type things in , and you get a response . Um and then it ju that's just to point out the sort of inconsistent u sort of use of interface in remotes . You can't really see that picture well , but there's various different remotes , once again with lots of different buttons on , making it more complicated ."
"[12:14] Speaker_C | So , then I had a look at new products that are on the market . Not necessarily remote controls but ones that you'll recognise . Um this is the voice , there is a voice recognition remote control , which can control mus multiple devices . I have a there is a picture . You surf your favourite channels uh with your voice . Store up to eighty speech samples , controls four devices , T_V_ , cable , satellite , V_C_R_ , D_V_D_ and audio ."
"[12:40] Speaker_C | And you can record your own v verbal labels , that are connected to remote control functions . So the technology is there . Um the one on the left is very similar to what we drew up on the board in the previous meeting , where there has scroll down functions on the side . You can sort of just make those out ."
"[13:13] Speaker_C | possibility . And nothing's simpler really . Um then there's things like this , which is a a a kid's remote , where the the parents have the facility to control and program what children can watch before . So the remote control it o only allows them to access the channels that their parents want them to watch ."
"[13:34] Speaker_C | And um it means that th children have a novelty of having their own remote control . So I don't know if there's a possibility of having one remote contr you know like we just had two components , maybe it can have more components you know , different remotes ."
"[13:49] Speaker_C | Um the point made at the end there here is that you have to be sort of be need to be clear on your um devices , as to what , you know , things you use . Sometimes an arrow pointing down , which may suggest volume down , could become confused just as a V_ for volume . Just little things like that , which would need to be made clear in the design ."
"[14:11] Speaker_C | Um I think , d carrying on from what I've already said , a user friendly remote with minimum buttons . Maybe we've so suggested this two-part thing , where if it was to have a speech recognition thing , you could maybe control that on the do it or program all that on the control bit ."
[14:56] Speaker_C | Oh yeah .
[14:59] Speaker_C | Just .
[15:06] Speaker_C | Just to sort of show you .
[15:11] Speaker_C | M they've even got things like that . Huge things . Which is just for your gr ninety year old grandma yeah ?
"[15:19] Speaker_B | That's industrial design for cranes , stuff like that ."
[15:20] Speaker_C | Yeah . Yeah .
[15:24] Speaker_C | And that yeah .
"[15:24] Speaker_B | Makes sense , makes sense ."
[15:27] Speaker_C | Yeah . See .
[15:39] Speaker_C | Why's my screen crazy ?
[15:44] Speaker_B | Well let's see . I'm going to bore you with a
[15:51] Speaker_B | couple of descriptions of the interior .
