"[01:15] Speaker_A | Okay , welcome to the detailed design meeting ."
"[01:23] Speaker_A | Again , I'm gonna take minutes . Oh , we're gonna have a prototype presentation first . Uh , who's gonna give the prototype presentation ? You two guys ? Okay . Go ahead ."
[01:34] Speaker_C | Yes .
"[02:05] Speaker_C | 'Kay , we've made a prototype . Um , we've got uh"
[02:25] Speaker_C | is uh
[02:34] Speaker_C | it is necessary when you want to build your uh company f to a level higher .
"[02:42] Speaker_C | Um ,"
"[02:51] Speaker_B | Uh , well the uh all the functions are discussed uh I think the most of the functions are uh uh obvious . Uh , it's a little bit . Uh , power button ."
[02:51] Speaker_C | The functions .
[03:04] Speaker_B | Uh then the the the nine uh channels .
[03:09] Speaker_B | Uh the volume uh
"[03:13] Speaker_B | uh at the side , and the other side is the programmes . And then we had uh just uh two buttons , we place them in the middle , uh the menu , and for the teletext I thought that was th"
"[03:25] Speaker_A | Oh no , the the the mute button misses now . Do y do you did we want to have a m mute button ?"
"[03:27] Speaker_B | Oh , the mute button ."
[03:28] Speaker_D | Yeah .
"[03:28] Speaker_C | But uh that It's uh here then , in the middle ."
[03:30] Speaker_B | Yeah .
[03:31] Speaker_A | Huh .
"[03:31] Speaker_D | Alright , and uh you gotta point out which is the volume um uh button and which is the programme button ."
"[03:35] Speaker_C | Yes , um"
[03:37] Speaker_C | we've disc
[03:42] Speaker_C | Most of the users
"[03:45] Speaker_C | Yes , y there there will be a p a little a little P_ on that and a little uh yeah ."
"[03:49] Speaker_D | Yeah , and a and a triangle on that ."
"[03:49] Speaker_B | Oh yeah , just progr programme above , I think ."
[03:52] Speaker_D | Yes . Next to that I kinda miss a zero actually .
"[04:08] Speaker_A | uh d I call it teens and twenties . Uh , y th th th the two numbers ."
[04:12] Speaker_C | Yes .
"[04:13] Speaker_D | All n no , that's um kinda dependent on the television ."
"[04:14] Speaker_B | Yeah , true , yeah ."
[04:15] Speaker_C | It's a television . Yes .
[04:21] Speaker_B | Uh I think so .
"[04:22] Speaker_C | Yes , yes , you have you have a lot of standard buttons that has to be uh on it , uh th with the one and a double uh uh yes ."
[04:28] Speaker_B | Zero ?
"[04:29] Speaker_D | A cross , or whatever . Yeah , line ."
[04:30] Speaker_B | May maybe here ?
"[04:30] Speaker_A | Yeah , but you don't you don't actually need them , becau b l a lot of remote controls work that y when y that you when you fir you push the one first , then you have a couple of seconds No , I don't think so ."
[04:36] Speaker_B | Yeah .
[04:37] Speaker_B | And then a second .
"[04:38] Speaker_D | No , that's dependent on the television ."
[04:41] Speaker_D | I do know so .
[04:43] Speaker_B | Is it depending on television ?
"[04:44] Speaker_A | Nah , I don't think so really , because you have a I know some remote controls that don't have these buttons , but you still can , know , obviously you can still select the twenty uh a number in the twenty or in the ten ."
[04:44] Speaker_D | Yeah .
