[00:24] Speaker_C | Okay .
[00:26] Speaker_A | Okay everyone's ready .
[00:27] Speaker_B | Hello .
[00:29] Speaker_A | So we are here for uh for uh functional design .
[00:37] Speaker_A | Okay ? So we are here for the functional design meeting mm so first I will show the agenda so
[00:49] Speaker_A | we will uh I will take notes during this meeting so
[00:54] Speaker_A | I will try to summarise it and put that summary in the shared folder if you want to look at it afterwards
"[01:03] Speaker_A | so then uh each of you will uh lead a presentation on the task that has been required last time so user requirement specification , technical function design and working design ."
[01:18] Speaker_A | Then I will uh present you some new project requirements I received from uh the management board .
[01:28] Speaker_A | Then we will take uh the decision on on the remote control uh needed functions
[01:36] Speaker_A | and then I will assign you the task for the next part of the meeting . Of the of the process . So uh who want to start the the presentation of what they did ?
[01:57] Speaker_D | Mm .
[01:58] Speaker_C | F do you want to start ?
"[02:00] Speaker_B | Make a start yeah . So . Cable , camera . Should be in my in their folder no ? Up ."
[02:02] Speaker_A | You can start .
[02:07] Speaker_A | You have uh PowerPoint ?
[02:18] Speaker_B | Um at three I think .
[02:21] Speaker_B | No ? Mm .
[02:27] Speaker_A | Ouch .
[02:33] Speaker_A | We have a technical problem uh .
[02:37] Speaker_B | Do we think w s in the in the wrong folder maybe ?
[02:43] Speaker_C | No .
[02:44] Speaker_B | It was somewhere in something like this . I don't remember the name actually must be something like messenger AMI or something .
[02:49] Speaker_C | What do you have in short cut ?
[02:51] Speaker_B | Go up .
[02:52] Speaker_C | Participant two .
[02:53] Speaker_B | Yeah go up .
[02:55] Speaker_A | Yeah .
[02:56] Speaker_B | Again .
[02:58] Speaker_B | No . Go back .
[03:02] Speaker_B | Uh maybe messenger AMI .
[03:05] Speaker_B | Messenger .
[03:06] Speaker_A | Over .
[03:08] Speaker_A | Okay .
[03:10] Speaker_B | No . There is nothing .
[03:16] Speaker_B | Let's go and check . I'll go and check .
[03:17] Speaker_A | We have a technical problem .
"[03:19] Speaker_C | Yeah . Otherwise , could you just describe"
[03:23] Speaker_C | by hand ? With the the whiteboard ?
[03:23] Speaker_B | Okay .
[03:26] Speaker_B | Yeah .
[03:28] Speaker_B | Yeah . So uh . Basically what we want here is a remote control right . So um the question well first of all what to control . So most people want to have a a remote for their hi-fi and T_V_ and stuff like that . And but other people want th also remotes for controlling uh and toys like robotic pets and little robots and stuff and other people also want to have remotes for controlling um whole house .
[03:34] Speaker_A | Yeah .
[03:43] Speaker_C | Mm-hmm .
[03:52] Speaker_C | Mm-hmm .
[03:59] Speaker_C | Mm-hmm .
[04:00] Speaker_A | Yeah .
"[04:00] Speaker_B | Yeah , so there's a project I think called X_ house or something like that that does that , uh you can integrate your remote with uh computers stuff . So there is one that is one thing . The other is the"
[04:09] Speaker_C | Mm-hmm .
[04:15] Speaker_B | the finder feature yeah by whistling or whatever . Uh if you have the finder feature then you can also have
[04:19] Speaker_C | Okay .
[04:23] Speaker_B | uh at the same time as and general voice commands if you want yeah .
[04:27] Speaker_C | Mm-hmm .
[04:45] Speaker_C | Mm-hmm .
[04:49] Speaker_C | Mm-hmm .
[04:50] Speaker_B | a set of buttons for linear access of medium and a set of buttons for random access .
[05:00] Speaker_A | Okay .
[05:00] Speaker_B | Yeah ?
[05:00] Speaker_C | What do you mean by linear access then ?
"[05:02] Speaker_B | Like a video tape goes forward , backwards , uh fast and stuff yeah ."
[05:04] Speaker_C | Ah .
[05:08] Speaker_B | Um .
"[05:08] Speaker_A | Okay so special navigation , linear access , random access and there's a fourth one no ?"
[05:14] Speaker_B | Mm ?
[05:16] Speaker_A | So the better now for special navigation ?
[05:18] Speaker_B | Yeah . For special navigation for example you might have a T_V_ in the menu and you going to change yeah ? Uh .
[05:22] Speaker_A | Okay . Then linear access then random access .
[05:25] Speaker_B | Mm . Yeah and also parameter changing . So if there are common parameters maybe we should put special buttons for that um or maybe we could have everything uh generic but uh there are a lot of uh remotes on the market right now and basically this is most of the almost everybody has this stuff .
[05:28] Speaker_A | Ah yeah parameter okay .
[05:33] Speaker_A | Okay .
[05:43] Speaker_A | Okay .
"[05:51] Speaker_B | Voice command w we could specify anything . We could assign any button a command to any button , if we have enough processing power , I guess so . Yeah ."
[05:54] Speaker_A | Okay .
[05:56] Speaker_A | Okay .
[06:01] Speaker_A | Okay .
[06:02] Speaker_B | Yeah .
[06:02] Speaker_A | So that's uh that close your investigations ?
[06:06] Speaker_B | Yeah . Uh yeah I think so . Not so far .
[06:07] Speaker_A | Okay .
[06:13] Speaker_D | Yeah . Um I dunno if you can open the uh m is not here .
[06:18] Speaker_A | I dunno if I can open it . Maybe you can s
[06:26] Speaker_D | yeah okay . No .
[06:26] Speaker_A | Messenger no ?
[06:28] Speaker_D | In document .
[06:32] Speaker_D | Mm computer yeah .
[06:35] Speaker_A | In which folder ?
[06:36] Speaker_B | Where did you put it ?
[06:38] Speaker_D | Here . Here .
[06:44] Speaker_D | Um .
[06:47] Speaker_A | Maybe you can send it to me by email .
[06:51] Speaker_A | Just to participant one .
"[06:56] Speaker_D | Mm-hmm . Yeah , I can do that ."
[06:56] Speaker_A | At AMI .
"[06:59] Speaker_A | I will try to show it to everyone , that would be more comfortable ."
[07:04] Speaker_D | Okay . Um .
[07:09] Speaker_A | You send it ?
[07:15] Speaker_A | Yeah .
[07:16] Speaker_A | Uh this is this email .
[07:44] Speaker_D | Okay . You can uh .
[07:48] Speaker_A | Okay .
"[07:55] Speaker_A | So maybe I can switch slides when you whenever you ask , that will be more convenient . So okay , functional requirements ."
[07:58] Speaker_D | Yeah .
[08:03] Speaker_D | Okay so you can you can go .
[08:09] Speaker_D | Okay so in our usability lab we observed the remote control use among one hundred subjects and the subjects also filled a questionnaire okay ?
[08:17] Speaker_A | Mm .
[08:22] Speaker_A | Yeah .
[08:24] Speaker_D | And here I have the results so you can see that um seventy five per cent of users find most remote controls ugly so we have to find something to make them more
[08:59] Speaker_A | We can just keep doing that ?
[09:02] Speaker_A | Yeah .
[09:22] Speaker_A | Okay .
[09:33] Speaker_A | Okay .
[09:46] Speaker_A | Okay .
"[09:47] Speaker_A | Okay , so fewer buttons maybe would be good ?"
"[09:49] Speaker_D | Yeah . F not many buttons , and uh and uh uh u useable buttons ."
[09:57] Speaker_A | Okay .
[09:58] Speaker_B | But what kind of remote controls did you look at ?
[10:01] Speaker_D | Sorry ?
[10:02] Speaker_B | What kind of task was it ? It was a T_V_ ?
[10:05] Speaker_D | Yeah . Uh most for most is T_V_ .
[10:07] Speaker_A | Yeah .
[10:09] Speaker_A | Yeah but in fact we it it seems that we are going to make a T_V_ remote control according to new requirements I received from the management bo I will present them in the following . Okay .
[10:15] Speaker_B | Huh .
[10:18] Speaker_B | Uh-huh .
[10:21] Speaker_B | Ah ! Good .
"[10:27] Speaker_D | So there are other frustrations expressed by users , so they said uh they lost uh often the remote control in in the room so they want to have a way to to"
[10:38] Speaker_A | Yeah .
[10:44] Speaker_A | To find it . Yeah .
[10:44] Speaker_D | to find it . Um and um lot of the time they it takes too much time to learn how to use a new remote control . So they want something s really very simple and uh easy to use .
[10:54] Speaker_A | Yeah .
[10:57] Speaker_C | Mm-hmm .
[10:59] Speaker_A | Okay .
[11:03] Speaker_D | And uh remote controls are bad for
[11:08] Speaker_A | What is her other side ?
[11:13] Speaker_D | I dunno .
"[11:13] Speaker_B | Other side yeah , yo wa your wrist ."
[11:17] Speaker_B | It i can become painful you can have tendonditis .
[11:20] Speaker_A | Oh yeah ? I did not knew that .
[11:20] Speaker_B | Yeah .
[11:22] Speaker_B | If you also up on a computer in a strange position .
[11:25] Speaker_A | Okay so you we have to make it uh more ergonomic yeah .
[11:30] Speaker_D | Yeah .
[11:40] Speaker_D | Uh .
[11:55] Speaker_A | Yeah .
[11:58] Speaker_A | Yeah yeah .
[12:12] Speaker_A | Yeah .
[12:19] Speaker_A | Okay .
[12:26] Speaker_A | Yeah .
[12:29] Speaker_C | Mm-hmm .
[12:31] Speaker_B | Mm-hmm .
[12:31] Speaker_A | Okay .
[12:39] Speaker_A | Yeah .
"[12:40] Speaker_A | This function should be very uh accessible . Yeah , okay . This is the main function okay ."
[12:42] Speaker_D | Very accessible yes .
[12:45] Speaker_D | That's right .
[12:51] Speaker_A | Yeah .
[12:54] Speaker_A | Yeah .
[13:04] Speaker_A | Yeah .
[13:10] Speaker_B | The first question .
[13:11] Speaker_D | of the questions . So you know that um
[13:22] Speaker_A | To have L_C_D_ and voice .
[13:22] Speaker_D | to have the s yes and speech recognition . And uh and the others is not so important but uh we know that uh uh people between fifteen and twenty five are people who watch a lot T_V_ and uh who who wh can use a lot this uh . So maybe we we can have a speech recognition in . Yeah .
[13:44] Speaker_A | Okay .
[13:47] Speaker_A | Yeah maybe this this is important . Moreover th maybe those uh like those teenager customer could advice their parents to buy this equipment and so we can we have to take care of that point of view I think or so .
[13:59] Speaker_B | Mm .
[14:06] Speaker_A | Yeah .
[14:18] Speaker_A | Okay .
[14:21] Speaker_A | Yeah .
[14:35] Speaker_C | Mm-hmm .
[14:37] Speaker_A | Okay .
[14:51] Speaker_D | Mm .
[14:51] Speaker_A | Yeah .
"[14:55] Speaker_C | We want to have a no , I don't know if this is a good idea . We want to have a a general remote control for everything ."
[15:01] Speaker_A | No no no . We w it seems that we no want to have a T_V_ remote control . From the management board I receive an email . Cos it would be costly
[15:07] Speaker_C | Okay .
[15:07] Speaker_B | Mm .
[15:10] Speaker_C | Yeah .
[15:14] Speaker_A | uh and and also it it would take more time to develop to have a a general generic remote control .
[15:17] Speaker_C | Yeah . Yeah yeah .
[15:20] Speaker_C | Yeah .
[15:21] Speaker_B | Mm I it's not true I think .
[15:25] Speaker_B | The the second claim that you put .
[15:28] Speaker_A | That it would be too long to develop .
[15:29] Speaker_B | Yeah . I think that should be the same .
[15:32] Speaker_A | Oh yeah . Because I received that email from management board and they seems to tell that that if we want to be on the market as early as possible we should uh focus on T_V_ more where it seems that the market is more important .
[15:51] Speaker_A | So maybe it's a good decision . I dunno . What's your opinion ?
[16:02] Speaker_B | Uh yeah .
[16:05] Speaker_B | Yeah . Okay . Yeah .
[16:10] Speaker_A | Okay .
[16:11] Speaker_D | Yeah .
[16:11] Speaker_B | Yeah .
[16:18] Speaker_A | Maybe you can go to the whiteboard if you have some drawings to do I don't know .
[16:22] Speaker_D | Mm .
[16:24] Speaker_C | Do I have oh yeah . Now I have enough cables .
[16:26] Speaker_B | Like a you feel a bit like a dog with this stuff .
[16:45] Speaker_C | Like that . I'm just going to describe . Basically we have a a battery a power supply here . After that we just have um user interface . Let's say that
"[16:59] Speaker_C | something like that , which could be um a L_C_D_ let's say or um an array of push button , something like that ."
[17:13] Speaker_C | Push button or a L_C_D_ . After that we we feed that into um
[17:19] Speaker_C | uh an electronic chip . So I say U_C_ and I feed that to uh L_E_D_ which is uh infrared um which is a an infrared um component . And so what we for for myself this for for us this is quite easy .
[17:40] Speaker_A | U_C_ is the central unit ?
[17:43] Speaker_C | Yeah . Y it's a it's this just a chip which does all the um numerical
[17:44] Speaker_A | Okay yeah .
[17:51] Speaker_A | Computation .
[17:52] Speaker_C | numerical computation according to your display . And so for us uh this is quite easy . We just need to take to define what we want to do when the user interface um wants something and after that we just do the coding to s and send that to to to the not the to the television . So for us this is quite easy .
[17:53] Speaker_A | Okay .
[18:16] Speaker_A | Okay .
[18:18] Speaker_A | Okay so this is quite easy . There is not that much constraints .
[18:35] Speaker_C | Yeah of course of course . And um but for a standard one this is really easy . It's a question of one month and so on s
[18:43] Speaker_B | Soon .
[18:44] Speaker_A | To have a you s you speak about with voi voice control ?
"[18:48] Speaker_C | No no no no , I say yeah standard uh standard remote control takes maybe uh one month to to do that ."
[18:49] Speaker_A | Standard button one .
[18:56] Speaker_B | Yeah . So the only time problem is the sp voice recognition . Yeah . Yeah .
[19:00] Speaker_C | Yeah . Definitely .
[19:03] Speaker_A | So do you have any idea of how long it would take to have voice recognition now ?
[19:08] Speaker_C | I would say . I would say uh about eight months to have the first results .
[19:19] Speaker_A | Okay so i it's a bit long yeah .
[19:27] Speaker_C | Um .
[19:34] Speaker_A | One month for the standard one with button . Even if we have a L_C_D_ display ?
[19:36] Speaker_C | Yeah .
[19:39] Speaker_C | Yeah even . I mean that this is really standard devices now .
[19:44] Speaker_C | Um eight .
[19:47] Speaker_C | For uh speech recognition .
[19:53] Speaker_A | Okay yeah .
[19:57] Speaker_A | Okay so we can take this into account . So who think it would be good to go for uh like speech recognition ?
[20:06] Speaker_B | But we don't have time to market .
[20:07] Speaker_C | And also how much uh I think
[20:12] Speaker_B | I think we should contact management .
"[20:21] Speaker_A | Euros . Yeah , yeah ."
[20:32] Speaker_A | Well each unit is is sell uh twenty five Euros .
[20:35] Speaker_C | Yeah but how many yeah .
