[00:27] Speaker_A | I hope you're ready for this uh functional design meeting .
[00:34] Speaker_A | Um so I will take the minutes you mm you three are going to do presentation .
[00:44] Speaker_A | Um uh we want to know to at the end to know the new project's requirement so we need uh to know the the user uh needs that we want to fulfil to fulfil the from the technical part we want to know how it going to work and um
[01:09] Speaker_A | third part uh I don't remember which is not very good .
"[01:20] Speaker_A | Ah of course , how to to design this uh this yeah ."
"[01:30] Speaker_A | um let's go for the three presentations , so first um Marketing Expert ."
[01:39] Speaker_A | So wait a minute . Mm .
[01:55] Speaker_B | Sammy Benjo . I know this name uh . We met before .
"[02:01] Speaker_D | So as you know , you I think you already know me , Sammy Benjo . I am the expert in marketing and I want to tell you about what people uh s want and uh like and dislike in remote controls , and I hope this is going to help you to to design it correctly . So next please ."
[02:21] Speaker_A | Mm uh .
"[02:22] Speaker_C | Yeah , it is put F_ five ."
[02:25] Speaker_A | Hmm .
"[02:26] Speaker_C | The full page presentation , yep ."
"[02:28] Speaker_D | Yeah maybe in the full page because i I spent lots of time doing this presentation , so ."
[02:29] Speaker_B | F_ F_ five .
[02:30] Speaker_A | Okay .
[02:30] Speaker_C | Yeah . Yep .
[02:32] Speaker_A | F_ five .
[02:34] Speaker_C | Yeah .
[02:34] Speaker_D | Uh-huh hmm okay .
[02:36] Speaker_A | Mm-hmm . Mm .
[03:01] Speaker_D | Don't forget about that . So we've we've conducted a a survey on on the use of uh remote controls and I'd like to show you some of the results we found on this survey .
[03:16] Speaker_D | And next please .
"[03:18] Speaker_D | Yeah , so basically what we found was that uh there are several things that the user don't like in remote controls ."
"[03:30] Speaker_D | First of all , they find it very ugly . Current remote controls as you know they're the same as this one uh they're not nice colour , not nice shape , I mean they're all the same , and they're not l good looking ."
"[03:47] Speaker_D | Um what is interesting is that in fact it seems that they were people are ready to pay for nice and look and fancy looking uh remote control , so I think we should probably spend lots of time in and effort in that um ."
[04:03] Speaker_D | And the other thing is that uh the the current remote controls are not so easy to use and it it the the current uh facilities that they offer do not match what people really want to use their remote controls .
[04:19] Speaker_D | For instance uh we see that uh they zap very often so I think this is a very uh important uh functionality that it should be easy for them to to zap uh in one way or another .
"[04:32] Speaker_D | And most of the buttons uh on uh current remote controls are not used , so I think we should design something where some of the buttons which are those that are used should be easier to see and use than others that only a couple of people are using ."
[04:49] Speaker_D | Um next please . Now people are very frustrated w with their remote controls and they for instance uh they don't even find it it's it's often lost somewhere in the in the in your home and nobody knows where it is .
[05:09] Speaker_C | Yeah .
"[05:10] Speaker_D | Maybe if we have something where we could ask the remote control please , where are you ? Like uh something to to like t I think phones . Some of the phones have some of this kind of s functionality . Uh of course phone you can always phone your phone but you can't phone your your remote control . But why not ? Yeah ."
[05:10] Speaker_B | Agree .
[05:11] Speaker_C | Yeah .
"[05:32] Speaker_D | And because of the fact that there are so many buttons in these remote controls that nobody use , in fact they don't even know how to use them , so most of the the people say they they don't know how to they to use properly their r remote controls ."
[05:37] Speaker_C | Hmm .
[05:47] Speaker_D | And uh they are bad for R_S_I_ but uh I don't remember what is R_S_I_ . So I think they are bad . Mm-hmm . Mm nobody has any idea about that ? Well I'll check uh with my
"[06:06] Speaker_C | Yeah , it's electromagnetic waves or something kind of maybe uh effect ."
"[06:10] Speaker_B | No , I don't think so ."
[06:15] Speaker_A | Mm-hmm . Okay .
[06:15] Speaker_D | Okay .
"[06:17] Speaker_D | So , it seems that it's a lot of people for a concept that we don't know but we have to take this into account ."
[06:20] Speaker_C | Uh .
[06:24] Speaker_C | Uh .
"[06:25] Speaker_B | Every fourth , you know . Every four some of us knows ."
[06:30] Speaker_D | So anyway that's for what the biggest frustration uh of the user and um
[06:31] Speaker_A | Okay .
[06:37] Speaker_C | Yeah . Yeah .
[06:38] Speaker_D | what else do I have ? Next slide ?
[06:41] Speaker_D | Ah yeah . So we've listed a couple of uh
[06:42] Speaker_B | Mm-hmm .
[06:45] Speaker_B | Functions .
[07:11] Speaker_D | People want to have a power button . Channel selection is uh o often used very often used and indeed uh very relevant .
[07:28] Speaker_D | Ah now I remember what is R_S_I_ it's repetitivity stress injury .
[07:41] Speaker_C | Uh .
"[07:50] Speaker_D | Volume is not often used but people uh want to have control on volume and that makes sense of course . And n then you have things which are very much less often used like the settings . Audio settings , screen settings , even teletext and channel settings ."
"[08:07] Speaker_D | All of them . they're not often used and they are s more or less relevant . It seems that people find teletext teletext uh relevant , even if I personally never use it but seems that it's average relevant at least , so ."
"[08:21] Speaker_A | I have been told that we uh don't consider teletext , that it's out of date now because of internet ."
"[08:30] Speaker_D | I can tell you that uh in a l in a scale between one and ten relevant uh not relevant to relevant people scored a six on this , which is not as uh these these two one were had I think ten I think ."
[08:43] Speaker_A | Mm-hmm .
"[08:43] Speaker_D | But but if you compare with these ones , uh I think they scored a one or two . Not very relevant , so"
[08:49] Speaker_C | Hmm .
[08:51] Speaker_D | if if there are good reason not to put teletext it's okay but just know that people find it somehow relevant .
[08:58] Speaker_B | Mm-hmm .
"[09:12] Speaker_D | One of the thing the trend uh that uh you are probably aware of is the possibility the eventual possibility of having speech recognition in your remote control , so you wouldn't have to tap tap in your buttons but just tell your remote control or whatever you need you have what you want ."
"[09:30] Speaker_D | So we've conducted a survey about uh whether people would like or not to have uh this kind of uh functionality in their remote control and as we can see it really depends on the age . Young people , probably because it's a buzz word , find it very relevant ."
[09:47] Speaker_D | And uh as the age goes up the the relevance goes down . So now it really depends on the kind of uh targeting uh wha who are we targeting with this remote control ? I think if we are targeting young people then uh it's probably something we have to consider .
[09:53] Speaker_C | Yeah .
"[10:05] Speaker_D | If we are targeting you very old people this is something they really don't know why they this should be so now this is of course , depends on that ."
[10:12] Speaker_A | Mm-mm . Okay .
"[10:15] Speaker_D | And um I don't have any conclusion , I didn't have time the meeting was very tight , so that's basically my findings . And uh , if you have any question ?"
"[10:26] Speaker_A | Mm I think it's good , okay . You done a good review ."
"[10:29] Speaker_B | I got one question , uh you are a Market Expert so should we aim at the young people or not ?"
"[10:29] Speaker_D | I can go back . Yeah one question , yeah ?"
[10:29] Speaker_C | Thank you .
[10:46] Speaker_C | Mm .
"[10:51] Speaker_B | Okay , then teletext is used less ."
[10:52] Speaker_C | Mm .
[10:54] Speaker_A | Mm-hmm .
"[10:54] Speaker_D | Then teletext is useless for them I think , yeah . Because they they have other means of finding their information . Yeah . But yeah . Nope ."
[10:56] Speaker_B | Okay .
[10:59] Speaker_B | Mm-hmm . Mm-hmm .
[11:00] Speaker_A | Mm-hmm mm mm . Okay . That's good point .
"[11:03] Speaker_C | Mm , yep ."
[11:03] Speaker_B | Mm . Okay .
[11:04] Speaker_A | Okay .
[11:05] Speaker_D | 'Kay ?
[11:06] Speaker_C | Thank you .
[11:11] Speaker_A | So um now I think it's the turn of the
"[11:28] Speaker_A | Of the technical function , so"
"[11:33] Speaker_D | So I think it's you , huh ?"
[11:34] Speaker_C | Uh it's
"[11:38] Speaker_D | No , user requiremen"
[11:40] Speaker_C | Yeah .
[11:42] Speaker_A | Okay .
[11:44] Speaker_A | Wait a second . Argh .
[11:45] Speaker_C | I have to do working design so uh .
"[11:48] Speaker_B | That's but this but number three , yes ."
[11:56] Speaker_B | Mm-hmm .
"[12:02] Speaker_B | So , my name is Mark Dwight , and um I am responsible for User Interface Design . However , uh mm Project Manager asked me to give you some presentation about technical functions design ."
