[01:30] Speaker_A | Okay .
[01:52] Speaker_A | Right .
"[02:08] Speaker_A | Right well um from the last meeting I was trying to send you the minutes , but uh it didn't work out too well , so maybe in sort of um"
"[02:23] Speaker_A | quick summary of the last uh meeting , I can"
[02:28] Speaker_A | quickly give you
[02:45] Speaker_A | Wishing I hadn't closed the damn Right so we had the fact that we're gonna have the the logo uh the company logo in its uh colour scheme incorporated onto the the device the remote device . We had uh made our decisions about uh
[03:03] Speaker_A | made our decisions about uh
"[03:09] Speaker_A | the device itself , that it was gonna be simple to make it uh"
"[03:13] Speaker_A | enable us to complete the project in time . We're gonna have uh effectively two pages , a front page which had the uh features that the uh the customers most wanted , and then the uh the backup features on the second page so that it could uh"
"[03:32] Speaker_A | meet the technical requirements . And the customers wouldn't have to look at them too often , only as and when required . So ."
[03:44] Speaker_A | So basically what decisions uh have we uh made ? Uh have there been any uh changes ?
"[03:52] Speaker_B | I think we all have a presentation again , so if we go through those and then um"
[03:53] Speaker_A | Right .
[03:54] Speaker_D | Yeah .
"[03:55] Speaker_A | Three presentation , yeah . So Yeah , fine ."
[03:59] Speaker_D | Okay .
[04:09] Speaker_B | I see this a little more smoothly than the last one .
"[04:47] Speaker_B | Okay right , let's get started . Um"
[04:53] Speaker_B | basically the uh for the Um I'll back actually .
"[04:58] Speaker_B | For the components design , um next step is basically the the way the remote's gonna work is still the same idea as before . We still have the user interface which is all the buttons we're gonna incorporate . Then there is a chip and still the sender . So um yes including the power s supply as well . Um I'll go on to my findings in each of these areas . Uh first in the power supply , we have the option of just the standard battery ,"
"[05:30] Speaker_B | um . There's a dynamo . Any of you think of kind of like the the old torches which you wind up um . There's a kinetic option , which if any of you've seen those new watches which you kind of you power up by waving around , um it just requires a small amount of movement which would mean the batteries wouldn't have to be replaced ."
"[05:53] Speaker_B | Um that's one option , but I think that was gonna cost a little more . And then there's solar cells . Um as a final option . For the buttons , we have um an integrated push button , which is Oh just to say all all these are um supplied by Real Reaction . So I guess for the ease of for quickness and ease we should take them from at least like one of these options . Um so for the buttons there's an integrated push button , which I guess is just the same as the standard ones . This says it's uh similar to uh the button on the mouse for a normal for like uh like modern computer . Um there's a scroll wheel"
[05:53] Speaker_D | Mm-hmm .
[06:16] Speaker_A | Okay .
"[06:33] Speaker_B | which is you know the new mouse has just got like the centre section which you can scroll up and down , which may be for the volume . You could do do that . Um one issue for the buttons is , depending on which material we use , if we use rubber buttons then it requires a rubber case , so we have to take that into consideration . Um moving on to the printed s"
[06:39] Speaker_A | Mm-hmm .
[06:40] Speaker_D | Mm-hmm .
[06:54] Speaker_A | What would be the cost do do we know ?
"[06:57] Speaker_B | Um that's on the next I th I think the there wasn't too much difference in the cost , that that related to the actual buttons , but it does affect the printed circuit board . Um which is the next section . Basically for the circuit board which is the middle , it's just see it down there the chips like the like the workings of the actual um of the remote . The firm supplies a simple , a regular and an advanced um circuit board . And there's different prices according to each . So if we've got the scroll wheel for one of the buttons , that would require a slightly more advanced circuit board than if we just had a standard um push button ."
[07:13] Speaker_A | Mm-hmm .
[07:31] Speaker_A | Mm-hmm .
"[07:37] Speaker_B | Um one final thing we came up with was some information on the speech recognition . There's a small unit available through the company um which obviously would be an extra cost , but it wouldn't affect the size of the remote too much . Um and I guess that would require a more advanced circuit board , so there is an extra price in that sense . There is th sorry an extra cost in that sense . Um going to my personal preferences , um I thought possibly for power we could use kinetic um which is the idea of the watches um that you move you move the remote around to power it up . And this would avoid batteries running out , having to replace batteries and such like . Um for the buttons , I thought we'd probably get away with just having the standard um push buttons rather than the scroll wheel ."
"[08:27] Speaker_B | Um and for the circuit board , again depends on which features we want in the actual in the remote . So if we wanted the scroll wheel and wanted the voice recognition , um then we'd have to get a a more costly circuit board . And that's it ."
[08:46] Speaker_D | 'Kay .
"[08:55] Speaker_B | Um i it kind of depends um if we're gonna have the speech recognition , we'd have to probably get an advanced one . I'm guessing . Uh but I don't know , so that is something I'll have to look into ."
[09:02] Speaker_A | Mm-hmm .
[09:04] Speaker_A | But are we going f R right .
[09:06] Speaker_B | Um that's a that's a decision for all of us . Um .
"[09:10] Speaker_A | So are we able to make that decision now in a sense that this is the point at which we're discussing that issue , so would it not be best to rather than I mean one way is to do each of the presentations and then make decisions going back to the various presentations as they were . The other way would be to do the presentation and then make the decision at that point in time ."
[09:11] Speaker_B | Yeah yeah .
[09:15] Speaker_B | We decide . Yeah .
[09:16] Speaker_D | Mm-hmm .
[09:29] Speaker_D | Mm-hmm .
[09:32] Speaker_B | Um . Maybe w
"[09:33] Speaker_C | Yeah , that's probably a better one , to discuss it straight away ."
"[09:35] Speaker_A | 'Cause at that point then you've got the details up there , so if we wanted to know for instance that the scroll wheel required the regular and what required advance . Then if we were able to see that down then we could make the decision at that point in time and then that would be the end of that issue . Does that make sense ?"
[09:47] Speaker_B | Um .
[09:53] Speaker_B | Yes .
[09:55] Speaker_D | Mm-hmm .
[10:02] Speaker_C | Unless you want to plug it back in to yours .
[10:04] Speaker_B | Um .
"[10:05] Speaker_B | We could do , yeah . Um yeah we should ."
"[10:18] Speaker_B | As I say it only specified that we need a more advanced circuit board for the scroll wheel , it didn't The voice recognition came as a separate piece of information . Um ."
[10:23] Speaker_A | Mm-hmm .
[10:29] Speaker_B | Yeah if if you down um .
[10:31] Speaker_A | Hmm .
"[10:32] Speaker_B | It's just this bit at the bottom which I've highlighted , but the scroll wheel requires a mini m minimally a regular chip , which is in the higher price range ."
[10:40] Speaker_A | Okay . The display requires an advanced chip the display requires an advanced chip which in turn is more expense .
[10:53] Speaker_A | Okay .
"[10:55] Speaker_B | And note that the push button just requires a simple chip , so that would keep the price down ."
[10:59] Speaker_A | Down .
