[00:05] me018 | OK .
[00:15] me013 | Uh .
[00:28] me013 | You wanna ?
[00:28] me018 | Should we take turns ? You want me to run it today ?
[00:31] me018 | OK . Um .
[00:36] me018 | things that we should talk about .
"[00:38] me018 | Um ,"
"[00:40] me018 | I guess there 's the usual updates , everybody going around and saying ,"
"[00:44] me018 | uh , you know , what they 're working on , the things that happened the last week ."
[00:48] me018 | But aside from that is there anything in particular that anybody wants to bring up
[00:52] mn052 | Mmm .
[00:53] me018 | for today ?
"[00:56] me018 | No ? OK . So why don't we just around and people can give updates . Uh , do you want to start , Stephane ?"
[00:57] fn002 | Oh .
[01:10] mn007 | Um . Yeah .
"[01:12] me018 | This is what what do you , uh what 's in the paper there ?"
"[01:14] mn007 | So it 's the paper that describe basically the , um ,"
[01:17] mn007 | system that were proposed for the Aurora .
[01:20] me018 | The one that we s we submitted the last round ?
"[01:22] mn007 | Right , yeah ."
[01:23] me018 | Uh - huh .
[01:32] me018 | Hmm .
[01:35] mn007 | Yeah .
[01:35] me018 | Where where 's it gonna be this year ?
"[01:37] mn007 | It 's , uh , Aalborg in Denmark . And it 's , yeah ,"
"[01:39] me018 | Oh , OK ."
[01:42] me018 | Mmm .
"[01:47] mn007 | Yeah . Then , uh , whhh well , I 've been working on on t mainly on on - line normalization this week ."
"[01:56] mn007 | Uh , I 've been trying different slightly slightly different approaches ."
"[02:12] mn007 | Uh , second thing is , uh , the training of , uh , on - line normalization with two different means ,"
[02:18] mn007 | one mean for the silence and one for the speech .
[02:36] mn007 | although it doesn't hurt . So .
"[02:38] mn007 | But well , both on - line normalization approach seems equivalent ."
[02:44] me018 | Are the means pretty different for the two ?
[02:48] mn007 | Yeah . They can be very different . Yeah . Mm - hmm .
[02:50] me018 | Hmm .
[03:04] mn007 | Um .
[03:11] mn007 | for C - zero and C - one than for the other coefficients .
[03:18] mn007 | Yeah .
"[03:23] mn007 | There are strange strange thing happening with C - one , is that"
"[03:27] mn007 | when you have different kind of noises , the mean for the the silence portion is can be"
[03:34] mn007 | different .
[03:35] me018 | Hmm .
"[03:42] mn007 | I was expecting th the s that these two mean helps , especially because of the the strange"
"[03:48] mn007 | C - ze C - one shape ,"
"[03:50] mn007 | uh , which can like , yo you can have ,"
"[03:54] mn007 | um ,"
"[03:56] mn007 | a trajectory for the speech and then when you are in the silence it goes somewhere , but if the noise is different it goes somewhere else ."
[04:04] me018 | Oh .
"[04:04] mn007 | So which would mean that if we estimate the mean based on all the signal , even though we have"
"[04:18] mn007 | Mmm . But I still have to investigate further , I think ."
"[04:21] mn007 | Um , a third thing is , um ,"
"[04:27] mn007 | t having a fixed time constant ,"
[04:30] mn007 | I try to have a time constant that 's smaller at the beginning of the utterances
[04:36] mn007 | to adapt more quickly to the r something that 's closer to the right mean .
"[04:49] mn007 | well , if it 's higher than a certain threshold , I keep it to this threshold to still ,"
[04:58] me013 | Mm - hmm .
[05:08] mn007 | Mmm .
"[05:09] mn007 | Uh , well , this doesn't help neither , but this doesn't hurt . So , well ."
"[05:16] me018 | Wasn't there some experiment you were gonna try where you did something differently for each ,"
"[05:21] me018 | um , uh I don't know whether it was each"
[05:31] me018 | some parameter you were gonna vary depending on the frequency .
"[05:39] mn007 | I don't know . No . u Maybe it 's this this idea of having different on - line normalization ,"
"[05:46] mn007 | um , tunings for the different MFCC 's ."
[05:54] mn007 | Mm - hmm .
