[00:05] me018 | OK .
"[00:15] me013 | We we had a meeting with , uh with Hynek ,"
"[00:19] me013 | um , in in which , uh ,"
"[00:22] me013 | uh ,"
"[00:23] me013 | Sunil and Stephane ,"
[00:24] me013 | uh
"[00:29] me013 | and , uh ,"
[00:31] me013 | talked about where we were gonna go .
[00:33] me013 | So that that happened sort of mid - week .
[00:35] me018 | D did did you guys get your code
[00:36] me013 | Uh .
"[00:39] mn052 | Oh , yeah ."
[00:40] me018 | pushed together ?
[00:40] mn052 | Yeah .
"[00:42] mn052 | It 's it 's it 's it was updated yesterday , right ?"
[00:42] me018 | Cool .
[00:45] mn007 | Yeah .
[00:45] mn052 | Yeah .
"[00:45] me018 | Oh , right , I saw I saw the note ."
[00:46] mn007 | You probably received the mail . Yeah .
[00:49] me013 | What was the update ?
[00:51] mn007 | What was the update ?
[00:52] me013 | Yeah .
[00:52] mn007 | So there is th then the all the new features that go in .
"[00:56] mn007 | The , um ,"
"[00:57] mn007 | noise suppression ,"
[01:00] mn007 | the re - synthesis of speech after suppression .
[01:04] mn007 | These are the Yeah .
[01:04] me018 | the CVS mechanism working well ?
"[01:08] me018 | Are are people ,"
"[01:09] me018 | uh , up at OGI grabbing code"
"[01:11] me018 | uh , via that ?"
[01:13] me018 | Or ?
[01:15] me018 | Uh - huh .
[01:18] mn052 | working on it right now .
[01:19] me018 | Mmm .
[01:20] me013 | I think it more likely that what it means is that when Sunil is up there
[01:23] mn052 | Yeah .
[01:24] me013 | he will grab it .
[01:24] mn052 | Yeah .
[01:25] me018 | Yeah .
[01:25] mn052 | So right now nobody 's working on Aurora there .
[01:27] me018 | I see .
[01:27] me013 | They 're Yeah . They 're working on a different task .
[01:28] me018 | I see .
[01:29] mn052 | Yeah .
[01:29] me018 | OK .
[01:30] me013 | But what 'll happen is is he 'll go back up there
"[01:36] me013 | from , uh , the east coast ."
[01:37] me018 | Mm - hmm .
[01:38] me013 | Uh .
"[01:40] me013 | and and I guess actually , uh , after Eurospeech for a little bit , uh , he 'll go up there too . So , actually"
[01:45] me013 | everybody
[01:49] me013 | So they 'll remotely access it from there . Yeah .
[01:51] me018 | Has anybody tried
"[01:52] me018 | remotely accessing the CVS using , uh ,"
"[01:55] me018 | uh , SSH ?"
"[01:57] mn007 | Um ,"
[01:58] mn007 | I don't know if Hari did that or You d
"[02:04] mn052 | No , I didn't ."
[02:04] me018 | OK .
[02:04] mn052 | So I I 'll try it today .
[02:05] me013 | Good idea .
[02:06] me013 | Yeah .
[02:06] mn052 | Yeah .
"[02:09] mn007 | repository , I tried from Belgium ."
[02:12] mn007 | I
[02:12] me018 | Yeah ?
[02:14] me018 | It worked good ?
"[02:15] mn007 | Yeah , it works ."
"[02:15] me018 | Oh , good !"
[02:16] me018 | Great !
[02:16] mn052 | Oh .
"[02:17] mn007 | So , right now it 's the mechanism with SSH ."
[02:24] mn007 | on a new port .
[02:24] mn007 | It 's like
[02:25] me018 | Yeah .
[02:25] me018 | Right .
"[02:26] mn007 | well uh , a main server , or d You can do a CVS server ."
"[02:28] me018 | Then that 's using the CVS password mechanism and all that , right ?"
[02:29] mn007 | But .
"[02:31] mn007 | Yeah , right ."
[02:35] me018 | So w
"[02:39] me018 | Belgium , using SSH ,"
"[02:41] me018 | uh ,"
[02:44] me018 | password into ICSI ?
[02:45] me018 | So if yo you can only do that if you have an account at ICSI ?
[02:45] mn007 | Right .
[02:47] mn007 | Yeah .
[02:47] me018 | OK .
[02:48] mn007 | Yeah .
"[02:51] mn007 | Yeah , you ha in this way you ca you have to set up a CVS server but then ,"
"[02:56] mn007 | yeah , you can access it ."
[02:59] mn007 | you you can set up priorities . You can access them and mostly if you if y the set the server is set up like this .
[03:03] me018 | OK .
[03:09] mn007 | Mm - hmm .
"[03:09] me018 | Uh ,"
"[03:10] me018 | I mean , for our transcripts we may want to do that ."
[03:12] me013 | Yeah .
[03:12] me018 | Uh .
[03:15] me013 | quite up to that .
[03:16] me018 | Mm - hmm .
"[03:16] me013 | I mean , we 're still so much in development . We want to have just the insiders ."
"[03:17] me018 | Yeah , yeah , yeah ."
[03:20] me018 | thinking of the Meeting Recorder stuff but .
[03:22] me013 | Yeah .
[03:22] me018 | Yeah . OK . Cool .
[03:32] me018 | What 's new ?
[03:35] me013 | maybe the thing
"[03:39] me013 | on , uh ,"
"[03:40] me013 | details of that since the meeting , right ?"
[03:46] me013 | That was that was Tuesday .
"[03:46] mn007 | well , I I 've been I 've been train"
[03:51] me013 | OK .
[03:52] mn007 | So they should be ready .
[03:54] mn007 | Um .
"[03:58] me013 | yo you guys weren't at that that meeting ,"
"[04:00] me013 | might be just just to ,"
"[04:02] me013 | um ,"
"[04:03] me013 | sort of recap ,"
[04:06] me013 | the conclusions of the meeting .
"[04:07] me018 | Oh , great ."
[04:08] me018 | You 're talking about the meeting with Hynek ?
[04:08] me013 | So .
"[04:09] me013 | Yeah . Cuz that was sort of , uh we we 'd sort of been working up to that ,"
[04:13] me018 | Uh - huh .
[04:16] me013 | Since he 's going out of town
"[04:19] me013 | like now , and I 'm going out town in a couple weeks ,"
"[04:21] me013 | uh ,"
