[00:23] me006 | OK .
[00:23] me013 | Sh - Close your door on door on the way out ? Thanks .
[00:23] me006 | Thanks .
[00:25] me006 | Oh .
"[00:39] mn007 | Uh , well , first there are perhaps these uh Meeting Recorder"
[00:44] mn007 | digits
[00:45] mn007 | that we tested . So .
[00:47] mn007 | Um .
[00:49] me013 | the SRI System and the oth And
[00:54] me013 | difference between having a lot of uh
[01:06] me013 | on
[01:09] mn007 | Mm - hmm .
"[01:12] me013 | And uh it 's significantly better than that , using"
[01:19] mn007 | Mm - hmm .
"[01:26] me013 | But that 's that 's using uh a a pretty huge amount of data ,"
[01:41] mn007 | Yeah . Right .
[01:47] me013 | is is doing the digits um
[01:50] me013 | the wor as a word model or as
[01:53] me013 | uh a sub s sub - phone states ?
[02:04] me013 | Yeah .
[02:14] mn007 | It 's their complete system and including on - line
[02:20] me013 | That 's true .
"[02:21] mn007 | And if you don't use adaptation , the error rate is"
[02:25] mn007 | around
"[02:27] mn007 | fifty percent worse , I think , if I remember . Yeah ."
[02:29] me013 | OK .
"[02:31] me013 | It 's tha it 's that much , huh ?"
[02:31] mn007 | Nnn .
[02:32] mn007 | It 's Yeah . It 's quite significant . Yeah .
[02:35] me013 | Oh . OK .
[02:37] mn007 | Mm - hmm .
"[02:45] me013 | take I guess that somebody 's gonna do this , right ? is to take some of these tandem things and feed it into the SRI system , right ?"
[02:51] mn007 | Yeah .
[02:52] me013 | Yeah .
[02:52] mn007 | We can do something like that . Yeah .
"[02:59] mn007 | I am not sure . Our back - end is is fairly simple but until now , well , the attempts"
"[03:07] mn007 | to improve it or have fail Ah , well , I mean"
[03:10] mn007 | uh what Chuck
[03:11] mn007 | tried
[03:12] mn007 | to to to do
[03:15] mn007 | Yeah . So it 's Yeah .
[03:23] mn007 | Mm - hmm .
[03:27] mn007 | Mm - hmm .
[03:34] mn007 | Mm - hmm .
[03:37] mn007 | Yeah .
[03:38] mn007 | Mmm .
[03:38] me013 | And um .
"[03:41] mn007 | So , yeah , we could retrain"
[03:43] mn007 | some of these tandem
[03:52] mn007 | f for the HMM models . Yeah . Mm - hmm .
[03:53] me013 | much better H M Ms . Yeah .
[03:56] mn007 | Mm - hmm .
"[03:58] me013 | But just train those H M Ms using different features , the features coming from our Aurora stuff . So ."
[04:01] mn007 | Yeah .
[04:04] mn007 | Yeah .
"[04:08] mn007 | perhaps it 's not related , the amount of data but the um"
"[04:14] mn007 | it 's probably not a problem of noise , because"
[04:17] mn007 | our features are supposed to be robust to noise .
"[04:20] mn007 | It 's not a problem of channel , because there is"
"[04:20] me013 | Well , yeah ."
[04:23] mn007 | um
[04:29] me013 | I I I 'm sorry . What what is the problem that you 're trying to explain ?
[04:34] me013 | That the Oh .
[04:37] me013 | So much worse ?
[04:37] mn007 | uh so much worse . Yeah .
"[04:44] me013 | I mean , that it has to do with the um amount of training data . It it 's it 's orders of magnitude off ."
[04:50] mn007 | Yeah but Yeah .
"[04:54] mn007 | Yeah but we train only on digits and it 's it 's a digit task , so . Well ."
[04:57] me013 | But but
"[05:00] me013 | if you look at what commercial places do , they use a huge amount of data . This is a modest amount of data ."
[05:01] mn007 | Mm - hmm .
[05:03] mn007 | Alright .
[05:05] mn007 | Yeah . Mm - hmm .
[05:12] mn007 | Mm - hmm .
"[05:14] me013 | But the thing is , if you have a huge in other words , do word models But if you have a huge amount of data"
[05:18] mn007 | Right .
[05:19] mn007 | Mmm .
[05:20] me013 | then you 're going to have many occurrences of similar uh allophones .
[05:24] mn007 | Yeah .
[05:29] mn007 | Mm - hmm .
"[05:30] me013 | I I think it has to be that , because , as you say , this is , you know , this is near - microphone , it 's really pretty clean data ."
[05:35] mn007 | Mm - hmm .
"[05:38] me013 | Now , some of it could be the fact that uh let 's see , in the in these multi - train things did we include noisy data in the"
[05:46] mn007 | Yeah .
"[05:46] me013 | training ? I mean , that could be hurting us actually , for the clean case ."
"[05:54] mn007 | are better than the multi - train , yeah ."
[05:59] mn007 | Mm - hmm .
[06:00] me013 | But um .
[06:02] me013 | Uh .
[06:04] me013 | So .
"[06:06] mn007 | well , let 's say if we if we add enough data to train on the um"
[06:10] me013 | Uh - huh .
"[06:12] mn007 | on the Meeting Recorder digits ,"
[06:13] me013 | Mm - hmm .
[06:14] mn007 | I guess we could have better results than this .
[06:17] mn007 | And .
[06:18] mn007 | What I meant is that perhaps we can learn something
"[06:21] mn007 | uh from this ,"
[06:22] mn007 | what 's what 's wrong
[06:24] mn007 | uh
[06:30] me013 | What kind of numbers are we getting on TI - digits ?
"[06:32] mn007 | It 's point eight percent , so ."
[06:38] me013 | Oh . I see .
[06:38] mn007 | Four - Fourier .
[06:39] mn007 | @ @
[06:42] mn007 | Yeah . Yeah .
[06:45] mn007 | Mm - hmm .
[06:46] me013 | Yeah .
"[06:48] me013 | Sure , but I mean ,"
[06:55] mn007 | Mm - hmm .
[07:05] mn007 | Mmm .
[07:14] mn007 | Mm - hmm .
[07:20] mn007 | Mm - hmm .
[07:21] mn007 | Yeah .
[07:30] mn007 | Yeah . Mm - hmm .
[07:34] me013 | Um .
[07:39] mn007 | Mm - hmm .
[08:00] mn007 | Mm - hmm .
[08:05] me013 | Um .
[08:10] me013 | Yeah .
[08:30] me013 | the uh point eight percent for for for the original TI - digits database ?
