[00:04] me013 | OK .
"[00:15] me013 | So , I got , uh these results from , uh , Stephane ."
"[00:20] me013 | Also , um , I think that , uh um we might hear later today , about other results ."
"[00:29] me013 | I think s that , uh , there were some other very good results that we 're gonna wanna compare to ."
"[00:35] me013 | But , r our results from other other places , yeah ."
[00:39] mn007 | I I 'm sorry ? I didn't -
"[00:40] me013 | Um , I got this from you and then I sent a note to Sunil about the cuz he has been running some other systems other than the the ICSI OGI one ."
[00:41] mn007 | Yeah .
[00:47] mn007 | Mm - hmm .
[00:49] mn007 | Oh yeah .
"[00:49] me013 | So um , I wan wanna wanna see what that is ."
"[00:53] me013 | But , uh , you know , so we 'll see what it is comparatively later ."
[00:56] mn007 | M yeah .
"[01:13] me013 | Looks like out of the six cases , between the different kinds of , uh , matching conditions out of the six cases , there 's basically , um , a couple where it stays about the same , uh , three where it gets better , and one where it gets worse ."
[01:31] mn007 | Yeah .
"[01:33] me013 | Uh , go ahead ."
"[01:34] mn007 | Y Actually , uh , um , for the Danish , there 's still some kind of mystery because , um , um , when we use the straight features , we are not able to get these nice number with the ICSI OGI one , I mean ."
"[01:50] mn007 | We don't have this ninety - three seventy - eight , we have eight yeah ."
[01:53] fn002 | Eighty - nine forty - four .
"[01:56] mn007 | Uh , so , uh , that 's probably something wrong with the features that we get from OGI ."
"[02:03] mn007 | Uh , and Sunil is working on on trying to to check everything ."
[02:09] mn007 | Hmm ?
"[02:10] me013 | We have a little bit of time on that , actually ."
[02:12] mn007 | Yeah .
[02:14] me013 | When when when do you folks leave ?
"[02:16] mn007 | Uh , Sunday ."
[02:17] me013 | Sunday ?
"[02:32] me013 | Well , that would be good ."
[02:33] me013 | That 'd be good .
[02:34] mn007 | Yeah .
[02:34] me013 | Yeah .
"[02:36] me013 | Uh , and , you know , i u when whenever anybody figures it out they should also , for sure , email Hynek because Hynek will be over there telling people what we did , so he should know ."
[02:49] mn007 | Mmm .
"[02:51] me013 | Good , OK ."
[02:52] mn007 | Yeah .
"[02:57] me013 | So , we 'll we 'll hold off on that a little bit ."
"[02:59] me013 | I mean , even with these results as they are , it 's it 's it 's really not that bad ."
"[03:06] me013 | And it looks like the overall result as they are now , even without , you know , any any bugs being fixed is that , uh , on the the other tasks , we had this average of , uh , forty uh nine percent , or so , improvement ."
"[03:22] me013 | And here we have somewhat better than that than the Danish , and somewhat worse than that on the German , but I mean , it sounds like , uh , one way or another , the methods that we 're doing can reduce the error rate from from mel ceptrum down by , you know a fourth of them to , uh , a half of them ."
"[03:43] me013 | Somewhere in there , depending on the exact case ."
[03:50] me013 | So that 's good .
"[03:51] me013 | I mean , I think that , uh , one of the things that Hynek was talking about was understanding what was in the other really good proposals and and trying to see if what should ultimately be proposed is some , uh , combination of things ."
[04:08] me013 | Cuz there 's things that they are doing there that we certainly are not doing .
[04:12] me013 | And there 's things that we 're doing that they 're not doing .
[04:15] me013 | And and they all seem like good things .
[04:17] mn007 | Yeah .
"[04:17] fn002 | Mmm , yeah ."
[04:19] me018 | How much how much better was the best system than ours ?
"[04:23] me013 | Well , we don't know yet ."
[04:24] me018 | Mmm .
"[04:24] me013 | Uh , I mean , first place , there 's still this thing to to work out , and second place second thing is that the only results that we have so far from before were really development set results ."
"[04:34] me018 | Oh , OK ."
"[04:35] me013 | So , I think in this community that 's of interest ."
[04:38] me013 | It 's not like everything is being pinned on the evaluation set .
"[04:42] me013 | But , um , for the development set , our best result was a little bit short of fifty percent ."
"[04:49] me013 | And the best result of any system was about fifty - four , where these numbers are the , uh , relative , uh , reduction in , uh , word error rate ."
"[04:58] me018 | Oh , OK ."
"[05:00] me013 | And , um , the other systems were , uh , somewhat lower than that ."
[05:05] me013 | There was actually there was much less of a huge range than there was in Aurora one .
[05:09] me013 | In Aurora one there were there were systems that ba basically didn't improve things .
[05:13] me018 | Hmm .
"[05:13] me013 | And here the the worst system still reduced the error rate by thirty - three percent , or something , in development set ."
"[05:19] me018 | Oh , wow ."
"[05:20] me013 | So so , you know , sort of everybody is doing things between , well , roughly a third of the errors , and half the errors being eliminated , uh , and varying on different test sets and so forth ."
[05:27] me018 | Mm - hmm .
"[05:33] me013 | It 's probably a good time to look at what 's really going on and seeing if there 's a there 's a way to combine the best ideas while at the same time not blowing up the amount of , uh , resources used , cuz that 's that 's critical for this this test ."
[05:46] me018 | Do we know anything about who who 's was it that had the lowest on the dev set ?
"[05:51] me013 | Um , uh , the , uh , the there were two systems that were put forth by a combination of of , uh , French Telecom and Alcatel ."
"[06:00] me013 | And , um they they differed in some respects , but they e em one was called the French Telecom Alcatel System the other was called the Alcatel French Telecom System , uh , which is the biggest difference , I think ."
"[06:13] me013 | But but there 're there 're there 're some other differences , too ."
"[06:16] me013 | Uh , and and , uh , they both did very well , you know ?"
[06:19] me018 | Uh - huh .
"[06:19] me013 | So , um , my impression is they also did very well on on the the , uh , evaluation set , but , um , I I we haven't seen you 've - you haven't seen any final results for that yeah ."
[06:37] me013 | There is a couple pieces to it .
"[06:38] me013 | There 's a spectral subtraction style piece it was basically , you know , Wiener filtering ."
"[06:47] mn007 | Yeah , actually , something that 's close to cepstral mean subtraction ."
"[06:52] mn007 | But , uh , the way the mean is adapted um , it 's signal dependent ."
"[06:59] mn007 | So , basically , the mean is adapted during speech and not during silence ."
[07:03] me013 | Yeah .
[07:03] mn007 | But it 's very close to to cepstral mean subtraction .
"[07:11] me013 | To to look in speech only , to try to m to measure these things during speech , that 's p that 's not that uncommon ."
"[07:13] mn007 | Yeah , yeah ."
"[07:17] me013 | But i it it so it looks like they did some some , uh , reasonable things , uh , and they 're not things that we did , precisely ."
"[07:25] me013 | We did unreasonable things , which because we like to try strange things , and and , uh , and our things worked too ."
[07:33] me018 | Hmm .
"[07:33] me013 | And so , um , uh , it 's possible that some combination of these different things that were done would be the best thing to do ."
"[07:42] me013 | But the only caveat to that is that everybody 's being real conscious of how much memory and how much CPU they 're using because these ,"
[07:48] me018 | Mm - hmm .
"[07:49] me013 | uh , standards are supposed to go on cell phones with m moderate resources in both respects ."
"[08:00] me013 | Uh , they didn't report it , if they did ."
[08:01] me018 | N nobody reported it ?
[08:02] me013 | Yeah .
[08:03] me013 | I think everybody was focused elsewhere .
