[00:00] me013 | Yeah .
"[00:00] me011 | OK , we 're on ."
"[00:01] me011 | So , I think this is gonna be a pretty short meeting because I have four agenda items , three of them were"
[00:07] me011 | requested by Jane who is not gonna be at the meeting today .
[00:11] me011 | So .
[00:13] me011 | The uh first was transcription status . Does anyone besides Jane know what the transcription status is ?
[00:21] mn014 | Is that English ?
[00:22] me018 | Well first of all with IBM I got a note from Brian yesterday saying that they
[00:27] me018 | finally made the tape for
[00:29] me018 | the thing that we sent them a week or week and a half ago and that it 's gone out to the transcribers and hopefully next week we 'll
[00:35] me018 | have the transcription back from that .
[00:37] me011 | C can I have a pen ?
[00:39] me018 | Jane seems to be um
[00:41] me018 | moving right along on the
"[00:43] me018 | transcriptions from the ICSI side . She 's assigned , I think"
[00:47] me018 | probably
[00:49] me018 | five or six
"[00:50] mn014 | Yeah , I think we 're up to MR thirteen or something ."
[00:50] me018 | m more meetings .
[00:52] mn017 | Mmm .
[00:56] me001 | Which meetings is she transcribing ?
"[00:58] me018 | Um well we 've we 've run out of E D Us because a certain number of them are um , sort of"
[01:00] me001 | OK .
[01:03] me018 | awaiting
[01:04] me018 | to go to IBM .
"[01:05] mn014 | For IBM , yeah ."
[01:05] me001 | OK .
[01:05] mn017 | Hmm .
[01:06] me018 | and the rest are in process being transcribed uh here .
[01:08] me001 | So we 're doing some in parallel .
[01:09] mn017 | So does she have transcribers right now who are basically sitting idle because there 's no data back from
[01:11] me011 | Yep .
[01:12] me018 | No .
[01:14] me018 | Oh no no . No . We 're not waiting on them .
[01:14] mn017 | IBM no ?
"[01:15] me011 | No , no . We haven't done that process . So . They ' r they 're doing the full transcription process ."
[01:16] mn017 | Oh .
"[01:19] mn017 | Oh , OK ."
[01:19] me018 | Yeah .
"[01:21] me018 | We 're doing it in parallel , yeah ."
[01:22] me001 | OK .
"[01:25] mn017 | um , s some of her people to"
"[01:28] mn017 | transcribe uh some of the initial data we got from the SmartKom data collection , which is these short like five or seven minute sessions ."
[01:36] mn014 | Yep .
"[01:40] mn017 | The Again , we we have a similar uh"
[01:43] mn017 | logistic set - up where we are supposed to send the data to Munich and get it transcribed and get it back .
[01:46] me011 | Right .
[01:48] mn017 | But to get going we would like some of the data transcribed right away so we can get started .
[01:53] mn017 | And so um I wanted to ask Jane if if
"[01:57] mn017 | uh , you know , maybe one of their"
"[01:59] mn017 | transcribers could could do I mean since these are very short , that should really be uh ,"
[02:03] me013 | Mm - hmm .
[02:05] mn014 | There 's only two channels .
[02:07] mn014 | So it 's only Yeah . As the synthesis doesn't have to be transcribed I think . So .
"[02:09] mn017 | Right , s"
[02:10] mn017 | Yeah . So So it 's basically one channel to transcribe . And it 's One session is only
"[02:16] me013 | So that should have ma many fewer And it 's also not uh a bunch of interruptions with people and all that , right ? So . Yeah ."
"[02:29] mn017 | And so um ,"
[02:30] mn014 | Yep .
"[02:37] mn017 | Uh if if that 's OK with you to to , you know ,"
[02:40] me013 | Yeah .
"[02:40] mn017 | get that stuff uh to ask her for that , then I 'll do that ."
[02:48] mn017 | Yeah .
"[02:51] mn017 | OK , yeah ."
[02:54] me013 | Yeah .
[02:54] mn017 | Alrighty .
[03:09] me011 | Can you mail that out to the list ?
"[03:14] me011 | Oh , OK , OK ."
[03:16] me018 | I 'll send it out to the list telling people to look at it .
"[03:18] me011 | Yeah , I haven't done that . So . I have lots of stuff to add that 's just in my own directory . I 'll try to get to that ."
[03:21] me018 | Yeah .
"[03:38] me011 | I 'm gonna send out to the participants , uh , with links to web pages which contain the transcripts and allow them to"
[03:50] me013 | OK .
[03:50] me011 | For the ones that we have .
"[03:53] mn014 | So but it 's just transcripts , not the not the audio ?"
"[03:55] me011 | Nope , they 'll have access to the audio also ."
"[03:56] mn014 | OK , yeah , yep . Ah ."
[04:00] me011 | I mean that 's my intention . Because the transcripts might not be right . So you want people to be able to listen to them .
[04:01] mn014 | Yeah .
